user_id,category_1,products_1,category_2,products_2,category_3,products_3,category_4,products_4,category_5,products_5
C32287,housewares,"['P9807', 'P28574', 'P14239', 'P13008', 'P11948']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C89306,computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",,
C83899,health_beauty,"['P19610', 'P7981', 'P8448', 'P23130', 'P27966']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C37840,auto,"['P16030', 'P11797', 'P27197', 'P3062', 'P20330']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",small_appliances,"['P2467', 'P20788', 'P17223', 'P12522', 'P28866']",sports_leisure,"['P2467', 'P20788', 'P17223', 'P12522', 'P28866']",furniture_decor,"['P9129', 'P21745', 'P25762', 'P14127', 'P6319']"
C19105,cool_stuff,"['P19610', 'P7981', 'P8448', 'P23130', 'P27966']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C30616,computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",electronics,"['P28404', 'P27612', 'P2949', 'P19475', 'P5679']",furniture_decor,"['P9129', 'P21745', 'P25762', 'P14127', 'P6319']",home_appliances_2,"['P15406', 'P13189', 'P18284', 'P27339', 'P21127']"
C20628,housewares,"['P9807', 'P28574', 'P14239', 'P13008', 'P11948']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C76016,furniture_decor,"['P9129', 'P21745', 'P25762', 'P14127', 'P6319']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C13862,sports_leisure,"['P2467', 'P20788', 'P17223', 'P12522', 'P28866']",agro_industry_and_commerce,"['P11675', 'P16377', 'P18203', 'P1318', 'P10955']",bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",watches_gifts,"['P10103', 'P6578', 'P11134', 'P11833', 'P715']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']"
C72942,bed_bath_table,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']",telephony,"['P19860', 'P4151', 'P20093', 'P20262', 'P14946']",computers_accessories,"['P12310', 'P2403', 'P30580', 'P7743', 'P29467']",toys,"['P20929', 'P16056', 'P10193', 'P25513', 'P6201']",fashio_female_clothing,"['P14876', 'P19050', 'P30720', 'P12424', 'P2960']"
